organization_name,participants_COP28,participants_COP29,participants_total,is_insurance,website_url,search_method,content_source,processing_status,error_message,processed_at
Federal Foreign Office,48,35,83,False,https://en.wikipedia.org/wiki/Federal_Foreign_Office,wikipedia,wikipedia,completed,,2025-07-30T12:16:50.435033
United Nations University,42,40,82,False,https://en.wikipedia.org/wiki/United_Nations_University,wikipedia,wikipedia,completed,,2025-07-30T12:16:52.115732
World Health Organization,71,5,76,False,https://en.wikipedia.org/wiki/World_Health_Organization,wikipedia,wikipedia,completed,,2025-07-30T12:16:54.037603
MFA,3,73,76,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/MFA,2025-07-30T12:16:55.053515
Expert,74,1,75,False,https://en.wikipedia.org/wiki/Expert,wikipedia,wikipedia,completed,,2025-07-30T12:16:56.895075
European Bank for Reconstruction and Development,38,37,75,False,https://en.wikipedia.org/wiki/European_Bank_for_Reconstruction_and_Development,wikipedia,wikipedia,completed,,2025-07-30T12:16:58.936163
PT Cendekia Mulia Komunikasi,35,39,74,,,,,failed,Não foi possível extrair conteúdo relevante de https://cendekiamuliakomunikasi.com,2025-07-30T12:17:06.071257
Friends of the Environment and Climate,28,46,74,False,https://en.wikipedia.org/wiki/Friends_of_the_Environment_Centre,wikipedia,wikipedia,completed,,2025-07-30T12:17:07.616601
KPMG,23,50,73,False,https://en.wikipedia.org/wiki/KPMG,wikipedia,wikipedia,completed,,2025-07-30T12:17:09.001671
United Nations Industrial Development Organization,32,41,73,False,https://en.wikipedia.org/wiki/United_Nations_Industrial_Development_Organization,wikipedia,wikipedia,completed,,2025-07-30T12:17:11.952294
United Nations Children's Fund,64,6,70,False,https://en.wikipedia.org/wiki/UNICEF,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:17:15.171379
UNDP,41,28,69,False,https://www.undp.org/,bing,website,completed,,2025-07-30T12:17:19.438934
UNEP,28,40,68,False,https://www.unep.org/pt-br/regioes/america-latina-e-caribe-brasil,bing,website,completed,,2025-07-30T12:17:25.278500
Asian Infrastructure Investment Bank,38,29,67,False,https://en.wikipedia.org/wiki/Asian_Infrastructure_Investment_Bank,wikipedia,wikipedia,completed,,2025-07-30T12:17:27.916347
Kenya,63,3,66,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Kenya,2025-07-30T12:17:29.038662
Edelman,64,0,64,False,https://en.wikipedia.org/wiki/Edelman,wikipedia,wikipedia,completed,,2025-07-30T12:17:30.285882
Ministry of Economy of the Republic of Azerbaijan,0,64,64,False,https://en.wikipedia.org/wiki/Ministry_of_Economy_(Azerbaijan),wikipedia,wikipedia,completed,,2025-07-30T12:17:33.086934
Commonwealth Secretariat,37,26,63,False,https://en.wikipedia.org/wiki/Commonwealth_Secretariat,wikipedia,wikipedia,completed,,2025-07-30T12:17:34.561349
WHO,8,55,63,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Who,2025-07-30T12:17:35.556788
European Investment Bank,41,21,62,False,https://en.wikipedia.org/wiki/European_Investment_Bank,wikipedia,wikipedia,completed,,2025-07-30T12:17:38.278427
IRENA,53,9,62,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Irena,2025-07-30T12:17:39.036668
United Nations Entity for Gender Equality and the Empowerment of Women,37,25,62,False,https://www.unwomen.org/en,bing,website,completed,,2025-07-30T12:17:42.338542
International Atomic Energy Agency,35,27,62,False,https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency,wikipedia,wikipedia,completed,,2025-07-30T12:17:44.622924
Business Sweden,35,26,61,False,https://en.wikipedia.org/wiki/Business_Sweden,wikipedia,wikipedia,completed,,2025-07-30T12:17:46.213432
United Nations Human Settlements Programme,34,26,60,False,https://en.wikipedia.org/wiki/United_Nations_Human_Settlements_Programme,wikipedia,wikipedia,completed,,2025-07-30T12:17:47.830121
Ministry of Interior,59,1,60,False,https://en.wikipedia.org/wiki/Interior_ministry,wikipedia,wikipedia,completed,,2025-07-30T12:17:49.927586
IUCN,52,7,59,False,https://www.iucnredlist.org/en,bing,website,completed,,2025-07-30T12:17:53.082220
International Monetary Fund,38,21,59,False,https://en.wikipedia.org/wiki/International_Monetary_Fund,wikipedia,wikipedia,completed,,2025-07-30T12:17:55.797179
European Parliament,36,23,59,False,https://en.wikipedia.org/wiki/European_Parliament,wikipedia,wikipedia,completed,,2025-07-30T12:17:59.565500
Office of the United Nations High Commissioner for Refugees,35,23,58,False,https://en.wikipedia.org/wiki/United_Nations_High_Commissioner_for_Refugees,wikipedia,wikipedia,completed,,2025-07-30T12:18:01.219208
Climate Champions Team,1,57,58,False,https://www.climatechampions.net/about/meet-the-team/,bing,website,completed,,2025-07-30T12:18:06.736690
The Nature Conservancy,43,12,55,False,https://en.wikipedia.org/wiki/The_Nature_Conservancy,wikipedia,wikipedia,completed,,2025-07-30T12:18:08.964919
QARABAG FK,0,55,55,False,https://www.qarabagh.com/en/,bing,website,completed,,2025-07-30T12:18:15.834008
University of Oxford,36,19,55,False,https://en.wikipedia.org/wiki/University_of_Oxford,wikipedia,wikipedia,completed,,2025-07-30T12:18:19.135226
WGEO,44,10,54,False,https://en.wikipedia.org/wiki/WGEO-LP,wikipedia,wikipedia,completed,,2025-07-30T12:18:20.509595
Ministry of Energy,29,25,54,False,https://en.wikipedia.org/wiki/Ministry_of_energy,wikipedia,wikipedia,completed,,2025-07-30T12:18:21.938864
United Nations Office for Project Services,47,7,54,False,https://en.wikipedia.org/wiki/United_Nations_Office_for_Project_Services,wikipedia,wikipedia,completed,,2025-07-30T12:18:24.165926
NGO,26,27,53,False,https://ngo.management/introduction-to-ngo-management/core-concepts-functions-of-ngos/,bing,website,completed,,2025-07-30T12:18:27.988193
World Food Programme,39,14,53,False,https://en.wikipedia.org/wiki/World_Food_Programme,wikipedia,wikipedia,completed,,2025-07-30T12:18:30.396460
University of California,36,16,52,False,https://en.wikipedia.org/wiki/University_of_California,wikipedia,wikipedia,completed,,2025-07-30T12:18:32.391307
Deutsche Gesellschaft für Internationale Zusammenarbeit,29,23,52,False,https://en.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Internationale_Zusammenarbeit,wikipedia,wikipedia,completed,,2025-07-30T12:18:33.738664
United Nations Environment Programme,47,5,52,False,https://en.wikipedia.org/wiki/United_Nations_Environment_Programme,wikipedia,wikipedia,completed,,2025-07-30T12:18:36.006334
European Climate Foundation,35,17,52,False,https://en.wikipedia.org/wiki/European_Climate_Foundation,wikipedia,wikipedia,completed,,2025-07-30T12:18:38.103730
CGIAR System Organization,37,14,51,False,https://www.cgiar.org/how-we-work/governance/system-organization/,bing,website,completed,,2025-07-30T12:18:43.276121
British Embassy UAE,50,0,50,False,https://www.british-embassy.net/uk/United-Kingdom-in-Dubai,bing,website,completed,,2025-07-30T12:18:47.224380
Central Bank of Azerbaijan,0,49,49,False,https://en.wikipedia.org/wiki/Central_Bank_of_Azerbaijan,wikipedia,wikipedia,completed,,2025-07-30T12:18:49.796833
Children and Youth International,48,1,49,False,https://en.wikipedia.org/wiki/Children_and_Youth_International,wikipedia,wikipedia,completed,,2025-07-30T12:18:52.554548
Woods Hole Oceanographic Institution,34,14,48,False,https://en.wikipedia.org/wiki/Woods_Hole_Oceanographic_Institution,wikipedia,wikipedia,completed,,2025-07-30T12:18:54.944226
International Fund for Agricultural Development,37,11,48,False,https://en.wikipedia.org/wiki/International_Fund_for_Agricultural_Development,wikipedia,wikipedia,completed,,2025-07-30T12:18:58.033758
Ministry of Finance,41,7,48,False,https://en.wikipedia.org/wiki/Ministry_of_finance,wikipedia,wikipedia,completed,,2025-07-30T12:19:00.062223
National University of Singapore,26,22,48,False,https://en.wikipedia.org/wiki/National_University_of_Singapore,wikipedia,wikipedia,completed,,2025-07-30T12:19:02.612186
World Economic Forum,33,15,48,False,https://en.wikipedia.org/wiki/World_Economic_Forum,wikipedia,wikipedia,completed,,2025-07-30T12:19:04.195172
National Assembly,37,10,47,False,https://en.wikipedia.org/wiki/National_Assembly,wikipedia,wikipedia,completed,,2025-07-30T12:19:06.964443
Nuclear for Climate,32,15,47,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Nuclear_power,2025-07-30T12:19:08.143921
Bloomberg Philanthropies,27,20,47,False,https://en.wikipedia.org/wiki/Bloomberg_Philanthropies,wikipedia,wikipedia,completed,,2025-07-30T12:19:10.985376
Yale University,42,5,47,False,https://en.wikipedia.org/wiki/Yale_University,wikipedia,wikipedia,completed,,2025-07-30T12:19:13.871439
National Projects Office,40,7,47,False,https://en.wikipedia.org/wiki/Project_management_office,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:19:17.740215
OSC,43,4,47,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/OSC,2025-07-30T12:19:18.456116
International Labour Organization,29,17,46,False,https://en.wikipedia.org/wiki/International_Labour_Organization,wikipedia,wikipedia,completed,,2025-07-30T12:19:20.842878
Climate Action Network International,27,19,46,False,https://en.wikipedia.org/wiki/Climate_Action_Network,wikipedia,wikipedia,completed,,2025-07-30T12:19:22.338213
McKinsey & Company,32,14,46,False,https://en.wikipedia.org/wiki/McKinsey_&_Company,wikipedia,wikipedia,completed,,2025-07-30T12:19:24.783711
Innovation and Digital Development Agency,0,45,45,False,https://en.wikipedia.org/wiki/Innovation_Agency_(Azerbaijan),wikipedia,wikipedia,completed,,2025-07-30T12:19:27.217578
Conservation International,26,19,45,False,https://en.wikipedia.org/wiki/Conservation_International,wikipedia,wikipedia,completed,,2025-07-30T12:19:28.775826
zion producoes,44,0,44,,,,,failed,Não foi possível extrair conteúdo relevante de https://zionproducoes.my.canva.site/,2025-07-30T12:19:30.549672
Atlantic Council,36,8,44,False,https://en.wikipedia.org/wiki/Atlantic_Council,wikipedia,wikipedia,completed,,2025-07-30T12:19:32.833584
Harvard University,22,22,44,False,https://en.wikipedia.org/wiki/Harvard_University,wikipedia,wikipedia,completed,,2025-07-30T12:19:35.427893
Not specified,44,0,44,False,https://en.wikipedia.org/wiki/Not_otherwise_specified,wikipedia,wikipedia,completed,,2025-07-30T12:19:36.924824
Presidencia del Gobierno,22,22,44,False,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Mexico,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:19:40.042763
International Solar Alliance,20,23,43,False,https://en.wikipedia.org/wiki/International_Solar_Alliance,wikipedia,wikipedia,completed,,2025-07-30T12:19:41.560692
Duke University,26,17,43,False,https://en.wikipedia.org/wiki/Duke_University,wikipedia,wikipedia,completed,,2025-07-30T12:19:44.123163
International Association of Students in Agricultural and Related Sciences,29,14,43,False,https://en.wikipedia.org/wiki/International_Association_of_Students_in_Agricultural_and_Related_Sciences,wikipedia,wikipedia,completed,,2025-07-30T12:19:46.202377
Deloitte,22,21,43,False,https://en.wikipedia.org/wiki/Deloitte,wikipedia,wikipedia,completed,,2025-07-30T12:19:47.567278
EY,27,16,43,False,https://en.wikipedia.org/wiki/Ernst_&_Young,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:19:50.106907
Green Climate Fund (GCF),42,0,42,False,https://en.wikipedia.org/wiki/Green_Climate_Fund,wikipedia,wikipedia,completed,,2025-07-30T12:19:52.242891
NGIC,0,42,42,False,https://en.wikipedia.org/wiki/National_Ground_Intelligence_Center,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:19:54.711937
Isha Foundation,16,25,41,False,https://en.wikipedia.org/wiki/Isha_Foundation,wikipedia,wikipedia,completed,,2025-07-30T12:19:56.807266
Ministry of Culture of the Republic of Azerbaijan,0,41,41,False,https://en.wikipedia.org/wiki/Ministry_of_Culture_(Azerbaijan),wikipedia,wikipedia,completed,,2025-07-30T12:19:58.711465
Government of Pakistan,41,0,41,False,https://en.wikipedia.org/wiki/Government_of_Pakistan,wikipedia,wikipedia,completed,,2025-07-30T12:20:00.372102
Environmental Defense Fund,21,19,40,False,https://en.wikipedia.org/wiki/Environmental_Defense_Fund,wikipedia,wikipedia,completed,,2025-07-30T12:20:01.858504
Columbia University,28,12,40,False,https://en.wikipedia.org/wiki/Columbia_University,wikipedia,wikipedia,completed,,2025-07-30T12:20:04.677753
Government of Canada,3,37,40,False,https://en.wikipedia.org/wiki/Government_of_Canada,wikipedia,wikipedia,completed,,2025-07-30T12:20:06.978428
University College London,25,15,40,False,https://en.wikipedia.org/wiki/University_College_London,wikipedia,wikipedia,completed,,2025-07-30T12:20:09.068743
WMO,40,0,40,False,https://wmo.int/,bing,website,completed,,2025-07-30T12:20:12.237353
Brazilian National Confederation of Industry,18,21,39,False,https://en.wikipedia.org/wiki/Industry_in_Brazil,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:20:16.964283
Prime Minister's Office,38,1,39,False,https://en.wikipedia.org/wiki/Prime_Minister's_Office_(India),wikipedia,wikipedia,completed,,2025-07-30T12:20:18.789654
Ministry of Digital Development and Trasnport,0,39,39,,,,,failed,Não foi possível encontrar website para Ministry of Digital Development and Trasnport,2025-07-30T12:20:19.823509
University of Cambridge,27,12,39,False,https://en.wikipedia.org/wiki/University_of_Cambridge,wikipedia,wikipedia,completed,,2025-07-30T12:20:23.339570
Global Environment Facility,18,20,38,False,https://en.wikipedia.org/wiki/Global_Environment_Facility,wikipedia,wikipedia,completed,,2025-07-30T12:20:25.698984
Unidad Nacional de Asociaciones de Ingenieros A.C.,22,16,38,,,,,failed,Não foi possível encontrar website para Unidad Nacional de Asociaciones de Ingenieros A.C.,2025-07-30T12:20:26.651938
Ministry of Economy,17,20,37,False,https://en.wikipedia.org/wiki/Ministry_of_the_economy,wikipedia,wikipedia,completed,,2025-07-30T12:20:29.023326
Heydar Aliyev Center,0,37,37,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Heydar_Aliyev_Center,2025-07-30T12:20:30.052653
Boomtown,37,0,37,False,https://en.wikipedia.org/wiki/Boomtown,wikipedia,wikipedia,completed,,2025-07-30T12:20:32.080511
Abibimman Foundation,14,23,37,False,https://en.wikipedia.org/wiki/List_of_organizations_with_consultative_status_to_the_United_Nations_Economic_and_Social_Council,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:20:34.400014
WBCSD,25,12,37,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/WBCSD,2025-07-30T12:20:35.213695
Clean Air Task Force,20,17,37,False,https://en.wikipedia.org/wiki/Closed-loop_geothermal,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:20:37.789571
PT PLN (Persero),21,16,37,False,https://web.pln.co.id/en/about-us/company-profile,bing,website,completed,,2025-07-30T12:20:43.683728
Youth Love Egypt Foundation  *,36,0,36,False,https://yle-foundation.com/en,bing,website,completed,,2025-07-30T12:20:48.780363
Office of the United Nations High Commissioner for Human Rights,21,15,36,False,https://en.wikipedia.org/wiki/Office_of_the_United_Nations_High_Commissioner_for_Human_Rights,wikipedia,wikipedia,completed,,2025-07-30T12:20:51.564834
Green Climate Fund,1,35,36,False,https://en.wikipedia.org/wiki/Green_Climate_Fund,wikipedia,wikipedia,completed,,2025-07-30T12:20:53.996099
Office of The Commissioner (Ombudsman) for Human Rights of the Republic Azerbaijan,0,36,36,False,https://en.wikipedia.org/wiki/National_human_rights_institution,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:20:56.760059
Ministry of Energy and Infrastructure,34,2,36,False,https://en.wikipedia.org/wiki/Ministry_of_Energy_(Ontario),wikipedia,wikipedia,completed,,2025-07-30T12:20:58.311160
Boston College,20,16,36,False,https://en.wikipedia.org/wiki/Boston_College,wikipedia,wikipedia,completed,,2025-07-30T12:21:00.583076
Federal Ministry for Economic Cooperation and Development,24,11,35,False,https://en.wikipedia.org/wiki/Federal_Ministry_for_Economic_Cooperation_and_Development,wikipedia,wikipedia,completed,,2025-07-30T12:21:03.349476
BNP Paribas,23,12,35,False,https://en.wikipedia.org/wiki/BNP_Paribas,wikipedia,wikipedia,completed,,2025-07-30T12:21:05.807508
TAQA,31,4,35,False,https://en.wikipedia.org/wiki/TAQA,wikipedia,wikipedia,completed,,2025-07-30T12:21:07.155768
The Milli Majlis of the Republic of Azerbaijan,0,35,35,False,https://en.wikipedia.org/wiki/National_Assembly_(Azerbaijan),wikipedia_fallback,wikipedia,completed,,2025-07-30T12:21:09.787285
KAPSARC,26,9,35,False,https://www.kapsarc.org/,bing,website,completed,,2025-07-30T12:21:15.849868
Presidency,29,5,34,False,https://en.wikipedia.org/wiki/Presidency,wikipedia,wikipedia,completed,,2025-07-30T12:21:17.941083
ELEVEN TM Entertainment FZ LLC,34,0,34,,,,,failed,Não foi possível encontrar website para ELEVEN TM Entertainment FZ LLC,2025-07-30T12:21:19.022719
Organisation for Economic Co-operation and Development,18,16,34,False,https://en.wikipedia.org/wiki/OECD,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:21:22.323230
World Climate Foundation,21,13,34,False,https://en.wikipedia.org/wiki/European_Climate_Foundation,wikipedia,wikipedia,completed,,2025-07-30T12:21:23.706130
Schneider Electric,22,12,34,False,https://en.wikipedia.org/wiki/Schneider_Electric,wikipedia,wikipedia,completed,,2025-07-30T12:21:25.150448
International Youth Nuclear Congress,6,28,34,False,https://en.wikipedia.org/wiki/International_Youth_Nuclear_Congress,wikipedia,wikipedia,completed,,2025-07-30T12:21:26.590823
DP World,29,5,34,False,https://en.wikipedia.org/wiki/DP_World,wikipedia,wikipedia,completed,,2025-07-30T12:21:28.664308
Japan International Cooperation Agency,14,20,34,False,https://en.wikipedia.org/wiki/Japan_International_Cooperation_Agency,wikipedia,wikipedia,completed,,2025-07-30T12:21:30.200110
International Federation of Red Cross and Red Crescent Societies,20,13,33,False,https://en.wikipedia.org/wiki/International_Federation_of_Red_Cross_and_Red_Crescent_Societies,wikipedia,wikipedia,completed,,2025-07-30T12:21:33.113999
Pico Art International Pte Ltd,14,19,33,False,https://en.wikipedia.org/wiki/Emiko_Iwasaki,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:21:36.100358
FPRO ART PRODUCTION,33,0,33,False,https://en.wikipedia.org/wiki/Waymo,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:21:38.743380
KfW,19,14,33,False,https://en.wikipedia.org/wiki/KfW,wikipedia,wikipedia,completed,,2025-07-30T12:21:40.469610
BlackRock,27,6,33,False,https://en.wikipedia.org/wiki/BlackRock,wikipedia,wikipedia,completed,,2025-07-30T12:21:42.046241
The Ministry of Labour and Social Protection of the Population of the Azerbaijan Republic,0,33,33,False,https://en.wikipedia.org/wiki/Ministry_of_Labour_and_Social_Protection_of_the_Population_(Azerbaijan),wikipedia,wikipedia,completed,,2025-07-30T12:21:44.659648
Dubai Police,33,0,33,False,https://en.wikipedia.org/wiki/Dubai_Police_Force,wikipedia,wikipedia,completed,,2025-07-30T12:21:46.214700
Youth,28,5,33,False,https://en.wikipedia.org/wiki/Youth,wikipedia,wikipedia,completed,,2025-07-30T12:21:47.969032
Egypt The Dream Foundation for Development and Innovation and Innovation,0,33,33,False,https://egypt-the-dream.com/,bing,website,completed,,2025-07-30T12:22:03.628422
Privately-Sponsored Congressional Delegation,23,10,33,False,https://en.wikipedia.org/wiki/Nondelegation_doctrine,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:22:07.178840
Nordic Council of Ministers,21,12,33,False,https://en.wikipedia.org/wiki/Nordic_Council_of_Ministers,wikipedia,wikipedia,completed,,2025-07-30T12:22:09.048467
International Institute for Sustainable Development,20,13,33,False,https://en.wikipedia.org/wiki/International_Institute_for_Sustainable_Development,wikipedia,wikipedia,completed,,2025-07-30T12:22:11.832826
Embassy of Bakü,0,33,33,False,https://en.wikipedia.org/wiki/Foreign_relations_of_Azerbaijan,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:22:14.981903
DEWA,28,5,33,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Dewa,2025-07-30T12:22:15.697193
Wellcome Trust,23,9,32,False,https://en.wikipedia.org/wiki/Wellcome_Trust,wikipedia,wikipedia,completed,,2025-07-30T12:22:18.337444
Federal National Council,32,0,32,False,https://en.wikipedia.org/wiki/Federal_National_Council,wikipedia,wikipedia,completed,,2025-07-30T12:22:21.004699
Imperial College London,24,8,32,False,https://en.wikipedia.org/wiki/Imperial_College_London,wikipedia,wikipedia,completed,,2025-07-30T12:22:24.646341
Tokyo Metropolitan Government,15,17,32,False,https://en.wikipedia.org/wiki/Tokyo_Metropolitan_Government,wikipedia,wikipedia,completed,,2025-07-30T12:22:27.217896
The State Customs Committee of the Republic of Azerbaijan,0,32,32,False,https://en.wikipedia.org/wiki/State_Customs_Committee_(Azerbaijan),wikipedia,wikipedia,completed,,2025-07-30T12:22:29.834061
Environment Agency - Abu Dhabi,30,2,32,False,https://en.wikipedia.org/wiki/Environment_Agency_Abu_Dhabi,wikipedia,wikipedia,completed,,2025-07-30T12:22:31.715282
Society for Development and Community Empowerment,9,23,32,False,https://en.wikipedia.org/wiki/Women's_empowerment,wikipedia_fallback,wikipedia,completed,,2025-07-30T12:22:34.492613
Economic Commission for Africa,18,14,32,False,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa,wikipedia,wikipedia,completed,,2025-07-30T12:22:36.647901
UK Government,17,15,32,False,https://en.wikipedia.org/wiki/Government_of_the_United_Kingdom,wikipedia,wikipedia,completed,,2025-07-30T12:22:40.133655
Save the Children International,15,17,32,False,https://en.wikipedia.org/wiki/Save_the_Children_International,wikipedia,wikipedia,completed,,2025-07-30T12:22:41.534867
Azerbaijan Railways,0,32,32,False,https://en.wikipedia.org/wiki/Azerbaijan_Railways,wikipedia,wikipedia,completed,,2025-07-30T12:22:43.522890
ADA University,0,32,32,False,https://en.wikipedia.org/wiki/ADA_University,wikipedia,wikipedia,completed,,2025-07-30T12:22:45.324692
European Committee of the Regions,14,17,31,False,https://en.wikipedia.org/wiki/European_Committee_of_the_Regions,wikipedia,wikipedia,completed,,2025-07-30T12:22:48.445262
Natural Resources Defense Council,22,9,31,False,https://en.wikipedia.org/wiki/Natural_Resources_Defense_Council,wikipedia,wikipedia,completed,,2025-07-30T12:22:51.032367
International Trade Centre,19,12,31,False,https://en.wikipedia.org/wiki/International_Trade_Centre,wikipedia,wikipedia,completed,,2025-07-30T12:22:53.552031
Environmental Protection Agency,26,5,31,False,https://en.wikipedia.org/wiki/United_States_Environmental_Protection_Agency,wikipedia,wikipedia,completed,,2025-07-30T12:22:55.286828
Adaptation Fund Board,15,16,31,False,https://en.wikipedia.org/wiki/The_Adaptation_Fund,wikipedia,wikipedia,completed,,2025-07-30T12:22:57.492478
